ID1,ID2,ID3,Kt,theta0
134,101,113,37.5000,1.9321
135,140,80,37.5000,1.9321
137,91,47,58.3500,1.9670
137,91,85,37.5000,1.9321
137,91,118,37.5000,1.9321
137,115,92,50.0000,2.1276
137,115,105,38.0000,2.0665
138,95,45,80.0000,1.9146
138,95,103,35.0000,1.9111
138,95,109,63.0000,1.9216
139,102,67,37.5000,1.9321
139,102,75,37.5000,1.9321
139,102,124,33.0000,1.8815
140,80,46,80.0000,1.9146
140,80,68,63.0000,1.9391
140,80,81,37.5000,1.9321
141,137,91,37.5000,1.9321
141,137,115,35.0000,1.9111
142,109,87,80.0000,2.1450
142,109,95,70.0000,2.0351
142,156,122,35.0000,1.9111
143,158,107,58.3500,1.9670
144,88,58,70.0000,2.0351
144,88,78,80.0000,2.1450
146,130,86,58.3500,1.9670
146,130,100,37.5000,1.9321
146,171,145,80.0000,2.1014
147,120,93,38.0000,2.0665
147,120,94,35.0000,2.0909
148,154,123,38.0000,2.0665
149,144,88,35.0000,2.0909
150,123,71,35.0000,1.9111
150,123,107,37.5000,1.9321
151,142,109,35.0000,2.0909
152,140,80,50.0000,1.9111
152,140,135,35.0000,1.9111
154,123,71,63.0000,1.9216
154,123,107,80.0000,1.9146
154,123,150,35.0000,1.9111
155,113,76,35.0000,1.9111
155,113,93,37.5000,1.9321
155,113,101,37.5000,1.9321
156,142,109,50.0000,2.1276
156,142,151,38.0000,2.0665
156,164,116,58.3500,1.9670
157,152,140,55.0000,1.8937
158,107,77,37.5000,1.9321
158,107,82,37.5000,1.9321
158,107,123,58.3500,1.9670
158,143,106,37.5000,1.9321
158,143,131,37.5000,1.9321
159,111,75,70.0000,2.0420
159,111,84,80.0000,2.1991
161,130,86,37.5000,1.9321
161,130,100,33.0000,1.8815
161,130,146,37.5000,1.9321
163,125,98,70.0000,2.0944
163,125,112,70.0000,2.0944
164,116,66,58.3500,1.9670
164,116,99,37.5000,1.9321
164,116,126,37.5000,1.9321
164,156,122,37.5000,1.9321
164,156,142,80.0000,1.9146
164,189,160,37.5000,1.9321
166,185,144,35.0000,1.9111
170,158,107,37.5000,1.9321
170,158,143,37.5000,1.9321
171,146,108,35.0000,1.9111
171,146,130,63.0000,1.9391
174,163,125,35.0000,2.0944
